District,Name,Party,Estimated % Broken Promises,Notes on Estimation
TX-01,Nathaniel Moran,Republican,~25-35%,Limited tracking; strong on border/energy votes; few standalone broken promises noted.
TX-02,Dan Crenshaw,Republican,~20-30%,Veterans/national security focus; some spending critiques but high GOP alignment.
TX-03,Keith Self,Republican,~30-40%,Freedom Caucus; fiscal promises often unmet due to compromises/debt increases.
TX-04,Pat Fallon,Republican,~25-35%,Energy/border emphasis; limited major broken items documented.
TX-05,Lance Gooden,Republican,~30-40%,Conservative votes; some primary challenges on insufficient action.
TX-06,Jake Ellzey,Republican,~25-35%,Moderate GOP; bipartisan bills help fulfillment.
TX-07,Lizzie Fletcher,Democratic,~40-50%,Infrastructure/health care pushes; many stalled by partisanship.
TX-08,Morgan Luttrell,Republican,~25-35%,Veterans/military strong; limited broken noted.
TX-09,Al Green,Democratic,~45-55%,Civil rights/voting reform; systemic changes often blocked.
TX-10,Michael T. McCaul,Republican,~20-30%,Senior; foreign affairs/security alignment high.
TX-11,August Pfluger,Republican,~25-35%,Energy/military; strong party-line fulfillment.
TX-12,Craig Goldman,Republican,~20-30%,Newer (2025); early wins on regulations/energy; ongoing.
TX-13,Ronny Jackson,Republican,~30-40%,Controversial; some health/veterans promises partial.
TX-14,Randy Weber,Republican,~25-35%,Energy/anti-regulation; high alignment.
TX-15,Monica De La Cruz,Republican,~25-35%,Border focus; strong on enforcement promises.
TX-16,Veronica Escobar,Democratic,~40-50%,Immigration reform/equity; many blocked.
TX-17,Pete Sessions,Republican,~25-35%,Veteran; business/energy alignment.
TX-18,Christian Menefee,Democratic,~45-55%,Recent (2026); justice reform focus; limited record but systemic barriers.
TX-19,Jodey Arrington,Republican,~20-30%,Budget committee; fiscal promises partial due to debt.
TX-20,Joaquin Castro,Democratic,~40-50%,Immigration/education; often stalled.
TX-21,Chip Roy,Republican,~35-45%,"Hardline conservative; frequent criticism of GOP compromises (e.g., spending)."
TX-22,Troy Nehls,Republican,~25-35%,Law enforcement/border; high fulfillment on core.
TX-23,Tony Gonzales,Republican,~30-40%,Border/military; some intraparty tensions.
TX-24,Beth Van Duyne,Republican,~25-35%,Anti-regulation; strong alignment.
TX-25,Roger Williams,Republican,~20-30%,Business/small business focus; high party support.
TX-26,Brandon Gill,Republican,~20-30%,Newer (2025); conservative priorities emerging.
TX-27,Michael Cloud,Republican,~25-35%,Conservative; fiscal/anti-regulation.
TX-28,Henry Cuellar,Democratic,~35-45%,Moderate Dem; border/security fulfilled more; progressive items less.
TX-29,Sylvia Garcia,Democratic,~45-55%,Immigration/labor; many blocked.
TX-30,Jasmine Crockett,Democratic,~40-50%,Justice/equity; high-profile but systemic limits.
TX-31,John R. Carter,Republican,~20-30%,Senior; appropriations alignment.
TX-32,Julie Johnson,Democratic,~40-50%,Newer (2025); equity/health focus; ongoing.
TX-33,Marc Veasey,Democratic,~40-50%,Labor/infrastructure; partisan blocks.
TX-34,Vicente Gonzalez,Democratic,~35-45%,Border/moderate; some bipartisan wins.
TX-35,Greg Casar,Democratic,~45-55%,Progressive; bold promises often unmet.
TX-36,Brian Babin,Republican,~25-35%,Energy/veterans; strong alignment.
TX-37,Lloyd Doggett,Democratic,~40-50%,Senior Dem; health care/rights pushes; many stalled.
TX-38,Wesley Hunt,Republican,~25-35%,Military/veterans; high GOP fulfillment.